description,sample_title,collection_date,env_biome,env_feature,geo_loc_name,lat_lon,env_material,organism,Depth,Conductivity,Timepoint,Reactor cycle,Reactor phase,Reactor_status,Temperature,pH,Diversity - D2,Diversity - D1,Diversity - D0,FCM_ID,Cell.density (cells/mL),Cell.density.sd (cells/mL),Nitrate,Sulfate,Formate,Acetate,Chloride,Dilution_factor
Cooling water,1,10-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.17,-8.2,Reactor cycle 1,Control,idle,17.41,4.69,5.832212235,8.12795153,40,CYCLUS1_BEKKEN_-7_A_PRECYCLE,962613.3333,25454.34606,,,,,,
Cooling water,2,10-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.15,-7.79,Reactor cycle 1,Control,idle,16.94,4.87,4.208637097,8.127372239,53,CYCLUS1_BEKKEN_-7_B_PRECYCLE,970093.3333,6760.157789,,,,,,
Cooling water,4,12-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.54,-5.79,Reactor cycle 1,Control,idle,17.95,4.8,4.752934686,7.241668214,45,CYCLUS1_BEKKEN_-5_B_PRECYCLE,1022280,13645.39483,,,,,,
Cooling water,5,14-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.39,-4.2,Reactor cycle 1,Control,idle,18.18,4.82,5.265753743,8.059374955,39,CYCLUS1_BEKKEN_-3_A_PRECYCLE,1146120,16386.67752,,,,,,
Cooling water,6,14-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.35,-3.79,Reactor cycle 1,Control,idle,22.57,4.83,3.691365256,5.749543993,31,CYCLUS1_BEKKEN_-3_B_PRECYCLE,1188706.667,5276.412923,,,,,,
Cooling water,7,17-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.35,-1.2,Reactor cycle 1,Control,idle,25.05,4.83,3.980146779,5.890144487,31,CYCLUS1_BEKKEN_-1_A_PRECYCLE,1158306.667,2624.906348,,,,,,
Cooling water,8,17-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.31,-0.79,Reactor cycle 1,Control,idle,24.45,4.86,6.327216443,11.08965871,61,CYCLUS1_BEKKEN_-1_B_PRECYCLE,1214026.667,15991.61447,,,,,,
Cooling water,9,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.3,0,Reactor cycle 1,Startup,operational,24.43,4.86,7.346909036,14.59510319,54,CYCLUS1_BEKKEN_0_0h_START,1287266.667,15661.1281,,,,,,
Cooling water,10,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,2.88,0.08,Reactor cycle 1,Startup,operational,29.41,4.62,4.250001561,7.539307806,52,CYCLUS1_BEKKEN_0_2h_START,1222920,17323.46386,,,,,,
Cooling water,11,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.67,0.17,Reactor cycle 1,Startup,operational,30.44,4.51,2.835736635,4.724568921,38,CYCLUS1_BEKKEN_0_4h_START,1539813.333,17628.44671,,,,,,
Cooling water,12,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.6,0.25,Reactor cycle 1,Startup,operational,28.72,4.42,2.730396306,4.710997836,39,CYCLUS1_BEKKEN_0_6h_START,1841706.667,8073.892081,,,,,,
Cooling water,13,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.39,0.42,Reactor cycle 1,Startup,operational,27.89,4.73,3.231883645,5.360845679,43,CYCLUS1_BEKKEN_0_10h_START,2246880,29065.5535,,,,,,
Cooling water,14,19-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.65,0.8,Reactor cycle 1,Startup,operational,28.06,4.31,3.25912075,4.686854608,29,CYCLUS1_BEKKEN_1_A_OPERATION,2529853.333,82405.45937,,,,,,
Cooling water,15,19-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.69,1.22,Reactor cycle 1,Operation,operational,26.4,4.3,2.803175388,4.939306945,44,CYCLUS1_BEKKEN_1_B_OPERATION,2576533.333,41321.45851,,,,,,
Cooling water,16,20-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.02,1.8,Reactor cycle 1,Operation,operational,27.41,4.36,2.222398182,3.405584358,31,CYCLUS1_BEKKEN_2_A_OPERATION,2710200,36938.78179,,,,,,
Cooling water,17,20-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.85,2.22,Reactor cycle 1,Operation,operational,28.09,4.37,2.35553579,3.433391168,26,CYCLUS1_BEKKEN_2_B_OPERATION,2779360,43504.05958,,,,,,
Cooling water,18,21-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.42,2.8,Reactor cycle 1,Operation,operational,29.53,4.28,2.508449028,3.287594413,19,CYCLUS1_BEKKEN_3_A_OPERATION,2318720,70522.98349,,,,,,
Cooling water,19,21-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.98,3.22,Reactor cycle 1,Operation,operational,29.43,4.45,2.550848315,3.66435184,30,CYCLUS1_BEKKEN_3_B_OPERATION,2181853.333,42187.2461,,,,,,
Cooling water,20,22-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.78,3.8,Reactor cycle 1,Operation,operational,28.11,4.47,2.656709252,4.022546249,33,CYCLUS1_BEKKEN_4_A_OPERATION,1932506.667,31666.77333,,,,,,
Cooling water,21,22-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.83,4.22,Reactor cycle 1,Operation,operational,26.97,4.48,2.87551173,3.926037664,25,CYCLUS1_BEKKEN_4_B_OPERATION,1732640,21168.01361,,,,,,
Cooling water,22,23-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.68,4.8,Reactor cycle 1,Operation,operational,29.01,4.49,3.458442792,6.56403537,45,CYCLUS1_BEKKEN_5_A_OPERATION,1274293.333,28772.27369,,,,,,
Cooling water,23,24-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.33,5.8,Reactor cycle 1,Operation,operational,25.89,4.56,2.434794896,4.630764395,45,CYCLUS1_BEKKEN_6_A_OPERATION,762893.3333,23880.04467,,,,,,
Cooling water,24,26-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.39,7.8,Reactor cycle 1,Operation,operational,26.85,4.4,8.511962082,17.68601897,87,CYCLUS1_BEKKEN_8_A_OPERATION,399120,7465.226052,,,,,,
Cooling water,25,29-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.09,10.8,Reactor cycle 1,Operation,operational,26.08,4.33,5.012519792,11.01361477,69,CYCLUS1_BEKKEN_11_A_OPERATION,427853.3333,4301.87556,,,,,,
Cooling water,26,1-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.5,12.8,Reactor cycle 1,Operation,operational,26.38,4.29,5.137839409,10.3884972,67,CYCLUS1_BEKKEN_13_A_OPERATION,458813.3333,10199.32024,,,,,,
Cooling water,27,2-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.82,13.8,Reactor cycle 1,Operation,operational,26.34,4.27,4.67208726,8.384010793,57,CYCLUS1_BEKKEN_14_A_OPERATION,456120,16418.96464,,,,,,
Cooling water,28,3-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,6.99,15.22,Reactor cycle 1,Operation,operational,24.51,4.18,2.777619073,4.881697272,38,CYCLUS1_BEKKEN_15_B_OPERATION,575240,8866.025039,,,,,,
Cooling water,29,4-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,6.36,16.22,Reactor cycle 1,Operation,operational,26.5,4.22,1.408213935,2.245203873,29,CYCLUS1_BEKKEN_16_B_OPERATION,813813.3333,26491.75973,,,,,,
Cooling water,30,5-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.4,16.8,Reactor cycle 1,Operation,operational,27.76,4.29,1.451037285,2.39416263,20,CYCLUS1_BEKKEN_17_A_OPERATION,1253546.667,29689.19893,,,,,,
Cooling water,31,6-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.47,17.8,Reactor cycle 1,Operation,operational,26.05,4.38,1.379696543,2.286156846,34,CYCLUS1_BEKKEN_18_A_OPERATION,1359746.667,43564.65234,,,,,,
Cooling water,32,7-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.65,18.8,Reactor cycle 1,Operation,operational,28.06,4.48,1.402370302,2.329848222,33,CYCLUS1_BEKKEN_19_A_OPERATION,1197373.333,80161.30072,,,,,,
Cooling water,33,7-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.46,19.22,Reactor cycle 1,Operation,operational,25.96,4.51,1.343178871,2.226352913,36,CYCLUS1_BEKKEN_19_B_OPERATION,1244826.667,7823.792772,,,,,,
Cooling water,36,11-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.86,22.92,Reactor cycle 1,Shutdown,idle,17.4,4.69,2.092485958,4.264915306,43,CYCLUS1_BEKKEN_23_A_POSTCYCLE,1203053.333,23382.39794,,,,,,
Cooling water,91,12-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.79,23.92,Reactor cycle 1,Shutdown,idle,17.39,4.7,2.159953159,4.106126609,40,CYCLUS1_BEKKEN_24_A_POSTCYCLE,1221280,16233.34839,,,,,,
Cooling water,37,13-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.38,24.92,Reactor cycle 1,Shutdown,idle,17.46,4.81,2.102089349,4.131335385,45,CYCLUS1_BEKKEN_25_A_POSTCYCLE,1242253.333,36791.74545,,,,,,
Cooling water,38,14-Dec-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.34,25.92,Reactor cycle 1,Shutdown,idle,17.41,4.77,2.399380259,4.702043353,37,CYCLUS1_BEKKEN_26_A_POSTCYCLE,1256946.667,19343.56051,,,,,,
Cooling water,39,20-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.34,-6.58,Reactor cycle 2,Control,idle,15.34,4.76,11.56443803,19.83035866,81,CYCLUS2_BEKKEN_-7_B_PRECYCLE,1107786.667,17484.27103,,,,,,
Cooling water,40,21-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.33,-5.58,Reactor cycle 2,Control,idle,15.43,4.76,12.09548435,20.65725765,85,CYCLUS2_BEKKEN_-6_B_PRECYCLE,880960,8428.617918,,,,,,
Cooling water,41,23-Jan-15,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.36,-3.58,Reactor cycle 2,Control,idle,15.9,4.76,8.456544698,13.87300086,64,CYCLUS2_BEKKEN_-4_B_PRECYCLE,877706.6667,14200.86382,,,,,,
