Sample Id	Taxonomy
Ramlibacter_sp_MAG	Ramlibacter
Ramlibacter_sp_Leaf400	Ramlibacter
Ramlibacter_tataouinensis_5_10	Ramlibacter
Ramlibacter_tataouinensis_TTB310	Ramlibacter
Curvibacter_lanceolatus_ATCC_14669	Curvibacter
Curvibacter_sp_PAE_UM	Curvibacter
Limnohabitans_sp_63ED37_2_Limnohabitans_	Limnohabitans
Limnohabitans_sp_Rim28_Limnohabitans_sp_Rim28_73_Contigs_	Limnohabitans
Limnohabitans_sp_Rim47_finished	Limnohabitans
Rhodoferax_ferrireducens_T118	Rhodoferax
Rhodoferax_saidenbachensis_ED16	Rhodoferax
Variovorax_paradoxus_110B	Variovorax
Variovorax_paradoxus_EPS	Variovorax
Unclassified_Bacteroidetes_bin_2	Bacteroidetes
Unclassified_Bacteroidetes_bin_1	Bacteroidetes